Date,META,AAPL,AMZN,NFLX,NVDA,GOOGL
10/10/2023,321.84,178.39,129.48,373.32,45.80,138.06
11/10/2023,327.82,179.80,131.83,365.93,46.81,140.55
12/10/2023,324.16,180.71,132.33,361.20,46.95,138.97
13/10/2023,314.69,178.85,129.79,355.68,45.46,137.36
16/10/2023,321.15,178.72,132.55,360.82,46.10,139.10
17/10/2023,324.00,177.15,131.47,355.72,43.94,139.72
18/10/2023,316.97,175.84,128.13,346.19,42.20,137.96
19/10/2023,312.81,175.46,128.40,401.77,42.10,137.75
20/10/2023,308.65,172.88,125.17,400.96,41.39,135.60
23/10/2023,314.01,173.00,126.56,406.84,42.98,136.50
24/10/2023,312.55,173.44,128.56,413.73,43.66,138.81
25/10/2023,299.53,171.10,121.39,411.25,41.78,125.61
26/10/2023,288.35,166.89,119.57,403.54,40.33,122.28
27/10/2023,296.73,168.22,127.74,397.87,40.50,122.17
30/10/2023,302.66,170.29,132.71,410.08,41.16,124.46
31/10/2023,301.27,170.77,133.09,411.69,40.78,124.08
01/11/2023,311.85,173.97,137.00,420.19,42.33,126.45
02/11/2023,310.87,177.57,138.07,424.71,43.51,127.49
03/11/2023,314.60,176.65,138.60,432.36,45.01,129.10
06/11/2023,315.80,179.23,139.74,434.74,45.75,130.25
07/11/2023,318.82,181.82,142.71,434.61,45.96,130.97
08/11/2023,319.78,182.89,142.08,436.65,46.57,131.84
09/11/2023,320.55,182.41,140.60,435.15,46.95,130.24
10/11/2023,328.77,186.40,143.56,447.24,48.34,132.59
13/11/2023,329.19,184.80,142.59,444.62,48.62,132.09
14/11/2023,336.31,187.44,145.80,448.65,49.66,133.62
15/11/2023,332.71,188.01,143.20,461.94,48.89,134.62
16/11/2023,334.19,189.71,142.83,466.95,49.48,136.93
17/11/2023,335.04,189.69,145.18,465.91,49.30,135.31
20/11/2023,339.97,191.45,146.13,474.47,50.41,136.25
21/11/2023,336.98,190.64,143.90,474.95,49.94,136.97
22/11/2023,341.49,191.31,146.71,478.00,48.72,138.49
24/11/2023,338.23,189.97,146.74,479.56,47.78,136.69
27/11/2023,334.70,189.79,147.73,479.17,48.24,136.41
28/11/2023,338.99,190.40,147.03,479.00,47.82,137.20
29/11/2023,332.20,189.37,146.32,477.19,48.14,134.99
30/11/2023,327.15,189.95,146.09,473.97,46.77,132.53
01/12/2023,324.82,191.24,147.03,465.74,46.77,131.86
04/12/2023,320.02,189.43,144.84,453.90,45.51,129.27
05/12/2023,318.29,193.42,146.88,455.15,46.57,130.99
06/12/2023,317.45,192.32,144.52,446.73,45.50,130.02
07/12/2023,326.59,194.27,146.88,452.00,46.60,136.93
08/12/2023,332.75,195.71,147.42,453.76,47.51,134.99
